n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
52,4.673076923076923,48.05882352941176,347.0,2.0,1,11,5.55532833663468e-05,1.2701083218376449e-12,0.0,3.0,0.12,0
65,4.4,34.84375,433.0,0.0,7,11,0.0001072350291455,5.446977287132985e-09,0.0357142857142857,8.0,0.15,0
138,4.594202898550725,16.65693430656934,248.0,0.0,13,11,0.0002302353825797,2.1783354149316926e-07,0.0210526315789473,20.0,0.07,0
60,4.75,48.72881355932203,302.0,0.0,12,11,0.0001464174721493,9.451244604205868e-11,0.0222222222222222,12.0,0.21,0
76,4.434210526315789,20.706666666666667,272.0,0.0,15,11,0.0001433203989917,3.0574168851416597e-10,0.4242424242424242,13.0,0.16,0
57,4.614035087719298,39.60714285714286,200.0,0.0,48,11,0.0001104926651752,2.3129885439046202e-10,0.1428571428571428,9.0,0.14,0
112,4.151785714285714,22.504504504504503,394.0,0.0,46,11,0.0002041345194449,9.810752093155176e-10,0.0367647058823529,18.0,0.06,0
68,4.573529411764706,42.70149253731343,209.0,1.0,55,11,6.114452257825218e-05,2.8896839992335076e-11,0.0,4.0,0.12,0
79,4.455696202531645,39.602564102564095,324.0,0.0,49,11,0.0001212577096894,1.043050930318119e-10,0.0277777777777777,10.0,0.11,0
51,4.490196078431373,65.48,345.0,0.0,99,11,0.0001525571182522,8.279939822582406e-11,0.1272727272727272,13.0,0.18,0
56,4.678571428571429,46.61818181818182,445.0,1.0,130,11,0.0001404712510854,5.447013927408637e-11,0.1111111111111111,12.0,0.2,0
94,4.48936170212766,43.54838709677419,420.0,0.0,188,11,0.0001905085956869,3.6996458187768027e-09,0.0916666666666666,19.0,0.09,0
108,4.62037037037037,34.570093457943926,450.0,0.0,231,11,0.0002965631987814,1.1856000539893826e-09,0.0433333333333333,31.0,0.12,0
92,4.3478260869565215,40.230769230769226,374.0,0.0,279,11,0.0001748642917952,4.446986609387082e-11,0.0641025641025641,15.0,0.09,0
69,4.463768115942029,27.73529411764706,301.0,0.0,371,11,0.0001895474655521,8.675386473171065e-07,0.019047619047619,15.0,0.16,0
82,4.390243902439025,55.1358024691358,444.0,0.0,384,11,0.0001136189083149,9.857595853092487e-11,0.0666666666666666,9.0,0.09,0
62,4.467741935483871,51.72131147540984,344.0,0.0,411,11,7.399766199044147e-05,1.8427425702542882e-09,0.0,5.0,0.11,0
52,4.730769230769231,45.07843137254902,449.0,1.0,410,11,4.4283038646366065e-05,9.367426159708888e-13,0.0,2.0,0.11,0
78,4.5256410256410255,70.87012987012987,417.0,0.0,431,11,0.0001297671668844,3.745219018947469e-09,0.0666666666666666,11.0,0.12,0
77,4.636363636363637,74.64473684210526,366.0,0.0,438,11,0.000191403861144,4.4018677259458755e-07,0.0416666666666666,17.0,0.08,0
105,4.180952380952381,33.355769230769226,311.0,0.0,464,11,0.0001267144518731,3.7608791370132694e-09,0.0888888888888888,11.0,0.08,0
106,4.367924528301887,56.80952380952381,374.0,0.0,471,11,0.0001022665745739,9.225614992448299e-10,0.0,8.0,0.1,0
158,4.708860759493671,29.48407643312101,335.0,0.0,491,11,0.0002337138071514,5.5869151822372775e-09,0.0428571428571428,21.0,0.08,0
139,4.050359712230216,39.60144927536231,319.0,0.0,498,11,8.731756594805364e-05,3.674446668997577e-09,0.0,6.0,0.08,0
91,4.5054945054945055,55.08888888888889,413.0,0.0,580,11,0.0001295971688411,7.29739548427762e-11,0.0444444444444444,11.0,0.12,0
102,4.490196078431373,12.7029702970297,375.0,0.0,594,11,2.287579207441044e-05,-0.0,0.0,0.0,0.1,0
120,4.566666666666666,31.546218487394952,342.0,0.0,603,11,0.0001403723692048,3.657592567580608e-09,0.0222222222222222,11.0,0.09,0
143,4.2377622377622375,41.47887323943662,396.0,0.0,607,11,0.0002134110903418,7.201493138388293e-11,0.0333333333333333,19.0,0.06,0
55,4.454545454545454,79.66666666666667,396.0,1.0,625,11,6.768517071460216e-05,1.635791775183612e-11,0.0,4.0,0.13,0
80,4.0375,37.177215189873415,234.0,0.0,675,11,0.0001128244485564,9.48050508729781e-10,0.0357142857142857,8.0,0.07,0
128,4.4453125,20.17322834645669,361.0,0.0,706,11,0.0002175859948481,1.1021489699178221e-10,0.0467836257309941,19.0,0.06,0
70,4.771428571428571,54.69565217391305,443.0,1.0,707,11,0.0001186798161927,5.596057516658534e-09,0.0952380952380952,10.0,0.14,0
62,4.580645161290323,52.950819672131146,374.0,1.0,710,11,0.0001946133469597,9.001627460442286e-11,0.0333333333333333,17.0,0.15,0
169,4.029585798816568,29.63690476190476,255.0,0.0,784,11,0.0002275955245861,1.917731796715753e-09,0.0350877192982456,21.0,0.07,0
97,4.175257731958763,46.895833333333336,375.0,0.0,803,11,0.0002499903823424,1.12871763370755e-10,0.019047619047619,22.0,0.08,0
119,4.571428571428571,29.516949152542377,441.0,0.0,815,11,0.0001141615914426,1.8895172347691712e-09,0.0833333333333333,9.0,0.1,0
60,4.766666666666667,39.47457627118644,314.0,1.0,904,11,0.0002312858217615,1.1184244132926815e-08,0.0166666666666666,19.0,0.19,0
54,4.222222222222222,75.39622641509435,429.0,0.0,915,11,0.0001126481072792,7.723486777520769e-11,0.0357142857142857,9.0,0.13,0
68,4.514705882352941,68.26865671641791,360.0,1.0,944,11,0.0002124755129175,9.509865705770822e-10,0.0220588235294117,18.0,0.19,0
121,4.214876033057851,42.84166666666667,324.0,0.0,945,11,0.0001438086273191,1.2299492080955916e-10,0.109090909090909,12.0,0.07,0
70,4.142857142857143,63.05797101449276,385.0,0.0,941,11,0.0001731977252126,2.8293933548708486e-09,0.0454545454545454,15.0,0.12,0
91,4.56043956043956,56.43333333333333,388.0,0.0,943,11,0.0002268940672372,1.957396507251315e-09,0.0584795321637426,21.0,0.08,0
51,4.411764705882353,80.38,322.0,2.0,982,11,0.0001562144610013,8.209430523744981e-09,0.0454545454545454,13.0,0.16,0
158,4.132911392405063,26.509554140127385,343.0,0.0,980,11,0.0001599705803801,9.813402407279418e-10,0.0363636363636363,13.0,0.08,0
69,4.550724637681159,51.85294117647059,233.0,0.0,1004,11,0.000108345679944,8.201387716902516e-09,0.0357142857142857,8.0,0.14,0
147,4.496598639455782,21.01369863013698,230.0,0.0,1018,11,0.0001307207103154,9.091354023368965e-11,0.0,10.0,0.09,0
142,4.070422535211268,31.43262411347517,376.0,0.0,1022,11,0.0002728150134897,1.1099284564209072e-09,0.0808823529411764,28.0,0.05,0
