cluster_id,total_products,fake_products,fake_percentage,risk_assessment,size_category,percentile_rank_fake,avg_fake_score,avg_review_rating,avg_n_reviews,avg_days_between_reviews,avg_pagerank,avg_clustering_coef
0,3250,23,0.71,Low,Large,40.0,0.108,3.55,93.8,31.3,0.00030769,0.066
1,6934,42,0.61,Low,Very Large,35.0,0.0912,4.432,189.8,8.58,0.00014422,0.0469
2,177,130,73.45,High,Medium,95.0,0.3341,4.375,740.8,3.79,0.00564972,0.5611
3,2910,69,2.37,Low,Large,60.0,0.1175,4.246,445.4,5.45,0.00034364,0.0966
4,1560,34,2.18,Low,Large,55.0,0.1537,4.066,115.4,41.0,0.00064103,0.0693
5,5295,20,0.38,Low,Very Large,15.0,0.0883,3.532,127.4,13.67,0.00018886,0.0536
6,3613,16,0.44,Low,Large,25.0,0.0736,4.282,177.9,16.41,0.00027678,0.0651
7,718,202,28.13,High,Medium,90.0,0.2691,4.311,688.9,4.37,0.00139276,0.2935
8,159,12,7.55,Medium,Medium,85.0,0.1855,4.096,208.6,40.48,0.00628931,0.0595
9,9140,26,0.28,Low,Very Large,10.0,0.1053,4.079,89.8,16.58,0.00010941,0.0523
10,318,10,3.14,Low,Medium,65.0,0.1461,4.287,505.8,10.14,0.00314465,0.1455
11,6575,37,0.56,Low,Very Large,30.0,0.1193,4.451,81.6,29.34,0.00015209,0.067
12,4849,7,0.14,Low,Large,5.0,0.0756,4.182,304.6,7.1,0.00020623,0.0612
13,1652,68,4.12,Low,Large,75.0,0.0915,4.273,586.3,4.73,0.00060533,0.1599
14,1769,87,4.92,Low,Large,80.0,0.1448,2.727,110.0,19.19,0.00056529,0.0553
15,1397,6,0.43,Low,Large,20.0,0.0776,4.249,313.4,13.15,0.00071582,0.0869
16,3253,40,1.23,Low,Large,50.0,0.136,4.29,104.6,35.71,0.00030741,0.0702
17,556,18,3.24,Low,Medium,70.0,0.1713,4.165,153.4,40.41,0.00179856,0.0649
18,10444,121,1.16,Low,Very Large,45.0,0.1319,4.598,90.1,15.53,9.575e-05,0.0547
19,16,16,100.0,High,Small,100.0,0.5962,4.313,599.9,2.85,0.0625,0.9667
