n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
455,4.450549450549451,5.872246696035232,102.0,0.0,4,12,0.0002440818474699,2.5438510693643935e-05,0.0446336429308565,172.0,0.06,0
349,3.5931232091690544,18.071839080459768,278.0,0.0,88,12,0.0001919692654371,1.8575066738512856e-05,0.0399674840807478,131.0,0.01,0
128,4.6015625,22.66141732283464,141.0,0.0,322,12,0.0001624985090727,2.680387234268889e-05,0.0617821782178217,107.0,0.13,0
271,4.177121771217712,15.255555555555556,175.0,0.0,365,12,0.0001786435792341,5.6085826206308e-06,0.0432754182754182,119.0,0.04,0
281,4.562277580071174,15.282142857142848,208.0,0.0,461,12,0.0001733090370556,1.8750966983187796e-05,0.1037531276063386,116.0,0.02,0
406,3.82512315270936,14.644444444444444,149.0,0.0,479,12,0.0001900077588607,0.0041260392941249,0.0514935633045869,131.0,0.03,0
236,4.038135593220339,12.570212765957445,167.0,0.0,600,12,0.0001656741207323,1.4129645321278874e-05,0.0481459910696952,109.0,0.05,0
429,3.9976689976689976,10.453271028037372,114.0,0.0,767,12,0.000205439602336,1.2227987968540428e-05,0.0571247223103776,143.0,0.03,0
435,3.818390804597701,12.764976958525336,147.0,0.0,795,12,0.0001939396426726,1.638108464920377e-06,0.0467416339249424,134.0,0.03,0
294,4.537414965986395,12.17064846416382,208.0,0.0,896,12,0.0002514308166023,2.003329094273922e-06,0.1415204678362573,184.0,0.12,0
160,4.6875,13.635220125786155,127.0,0.0,903,12,0.0002023368788979,5.865354664779705e-06,0.054568238778765,138.0,0.08,0
294,4.73469387755102,15.849829351535831,209.0,0.0,907,12,0.0001925858133721,1.013987695127121e-05,0.0437158469945355,131.0,0.05,0
479,3.799582463465553,11.217573221757316,192.0,0.0,958,12,0.0002258846069564,1.0577058840413074e-05,0.0409082551939694,158.0,0.01,0
428,3.822429906542056,11.646370023419202,162.0,0.0,972,12,0.0002186735432769,1.8971716029811877e-05,0.0853697238971755,153.0,0.03,0
341,3.973607038123167,5.4,207.0,0.0,1011,12,0.0002091947196097,0.0041226048412319,0.0592725104353011,145.0,0.03,0
426,4.323943661971831,8.92,230.0,0.0,1094,12,0.0001856600250153,5.982658251654531e-06,0.045766590389016,126.0,0.01,0
