n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
420,4.719047619047619,9.336515513126482,789.0,0.0,35,15,0.0005816722435853,1.850223618162968e-06,0.0587755102040816,56.0,0.08,0
134,4.425373134328358,44.81203007518796,519.0,0.0,89,15,0.0006946944906876,3.669550315485284e-06,0.1011299435028248,75.0,0.08,0
220,3.8181818181818175,29.66210045662101,691.0,0.0,90,15,0.0008869800387918,3.7112598678441274e-06,0.0880984952120383,97.0,0.05,0
113,3.1327433628318584,56.0,559.0,0.0,75,15,0.0007960707881053,1.935509143612819e-06,0.1131237183868762,83.0,0.1,0
109,4.6422018348623855,33.2962962962963,565.0,0.0,100,15,0.0005853119790078,3.604009305058551e-06,0.0856313497822931,57.0,0.12,0
258,4.810077519379845,16.797665369649803,299.0,0.0,111,15,0.0006339989388311,1.3490681743608817e-07,0.072053872053872,63.0,0.13,0
295,4.5423728813559325,22.06462585034013,372.0,0.0,104,15,0.0005586513598901,3.5864425179340974e-06,0.0768627450980392,55.0,0.04,0
493,4.750507099391481,12.924796747967475,397.0,0.0,138,15,0.001009911075082,8.969771460786605e-06,0.0553649050560512,110.0,0.08,0
282,4.414893617021277,23.266903914590745,451.0,0.0,159,15,0.0008306801644779,1.957428770540084e-06,0.0778967867575462,88.0,0.07,0
242,4.764462809917355,27.273858921161818,450.0,0.0,142,15,0.000698771286948,5.4190215776849176e-06,0.0794612794612794,74.0,0.07,0
419,4.837708830548926,14.5311004784689,533.0,0.0,144,15,0.0007198556536529,1.8950527782024744e-06,0.1009657594381036,73.0,0.1,0
281,4.5587188612099645,14.596428571428564,317.0,0.0,147,15,0.000921098271494,5.472796193931971e-06,0.0796169630642954,99.0,0.06,0
320,4.740625,20.467084639498427,617.0,0.0,139,15,0.0009535191025007,5.523507336081514e-06,0.0544144144144144,104.0,0.09,0
219,4.219178082191781,29.866972477064213,687.0,0.0,172,15,0.0006743748381993,5.378512759685243e-06,0.0655367231638418,68.0,0.04,0
157,4.636942675159236,22.980769230769223,391.0,0.0,181,15,0.0005744615430894,3.622462218508022e-06,0.0988235294117647,56.0,0.07,0
791,4.441213653603034,8.155696202531644,526.0,0.0,192,15,0.0008872620460234,3.654933604862767e-06,0.0577030812324929,94.0,0.08,0
296,4.418918918918919,21.223728813559315,632.0,0.0,195,15,0.0007781166857254,4.609541672594321e-06,0.0730593607305936,81.0,0.08,0
