n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake,trust_score
323,4.625386996904025,3.8291925465838426,128.0,0.0,41859,19,0.0722969053969059,0.7385553134071653,0.9333333333333332,888.0,0.66,1,0.0
529,4.625708884688091,1.5738636363636342,20.0,0.0,59617,19,0.0517488323907289,0.4878874513013584,0.9333333333333332,594.0,0.64,1,1.4880907372400665
232,4.581896551724138,3.1904761904761805,172.0,0.0,60630,19,0.0588706072853022,0.5954544662422422,1.0,707.0,0.64,1,0.0
56,4.607142857142857,59.581818181818186,439.0,2.0,9865,11,9.984737722968311e-05,0.012494368030013,0.0714285714285714,10.0,0.44,1,18.692857142857132
102,4.627450980392157,8.306930693069306,388.0,0.0,54526,2,0.0059451466655407,5.5714953946267176e-05,0.6423699914748507,313.0,0.4,1,24.47058823529411
111,4.594594594594595,3.963636363636354,56.0,0.0,50565,2,0.0078735201988452,7.033422721200948e-05,0.608058608058608,434.0,0.4,1,8.81081081081081
54,4.75925925925926,5.547169811320752,41.0,0.0,57659,18,8.76481638690574e-05,6.111444200140043e-07,0.0522875816993464,19.0,0.39,1,29.855555555555558
69,4.695652173913044,13.14705882352941,115.0,0.0,32641,3,0.000381997207366,6.8717255464671005e-06,0.238223632038065,248.0,0.38,1,33.2086956521739
145,4.793103448275862,10.71527777777778,190.0,0.0,12244,7,0.0012959425978515,3.056204908869956e-05,0.3970024398745207,274.0,0.37,1,26.037931034482753
52,4.903846153846154,12.490196078431364,94.0,0.0,62155,1,0.0001856953327489,2.449086533399444e-06,0.1024691358024691,100.0,0.37,1,28.82307692307693
59,4.694915254237288,4.7413793103448265,57.0,0.0,57709,1,0.0001625423339753,1.80210424637284e-06,0.277511961722488,86.0,0.37,1,31.561016949152542
135,4.6,8.201492537313426,239.0,0.0,58319,2,0.0074290891345432,7.18017289914521e-05,0.6510654490106546,405.0,0.37,1,34.12222222222222
56,3.482142857142857,26.41818181818181,230.0,0.0,33944,3,0.0003865158634928,7.865560524607317e-06,0.2220008302200083,255.0,0.36,1,26.414285714285725
86,4.744186046511628,8.258823529411758,253.0,0.0,38144,13,0.0006308206694184,3.846887688804046e-05,0.2442925495557074,297.0,0.36,1,25.29302325581395
163,4.263803680981595,5.709876543209873,73.0,0.0,46148,2,0.0057514407247437,5.468258079820719e-05,0.6181533646322378,299.0,0.35,1,37.015337423312886
163,4.674846625766871,4.60493827160493,64.0,0.0,58317,2,0.0065535601950029,7.911944496239953e-05,0.6679005817028028,358.0,0.35,1,37.93558282208589
92,4.380434782608695,17.373626373626365,100.0,0.0,28896,13,0.0006162477663559,2.3229724220255364e-05,0.3061770085830871,295.0,0.35,1,36.56521739130435
54,4.333333333333333,24.0377358490566,158.0,0.0,41968,3,0.0004187641249805,6.335937982355994e-06,0.2248633579105682,280.0,0.35,1,18.3888888888889
57,4.649122807017544,11.26785714285714,114.0,0.0,59180,3,0.000443107198033,3.1738975269575707e-06,0.2193637621023513,300.0,0.34,1,37.378947368421045
70,4.485714285714286,20.62318840579709,197.0,0.0,32642,13,0.000606104622982,2.8201642735986422e-05,0.3196474444149172,287.0,0.34,1,17.228571428571428
63,4.317460317460317,97.66129032258064,773.0,0.0,424,4,0.0010730621088105,2.2645192857320083e-07,0.0909090909090909,15.0,0.18,0,17.07619047619048
58,4.482758620689655,35.7719298245614,434.0,0.0,10618,11,0.0001120904354073,3.4556479350822553e-11,0.0,9.0,0.14,0,27.489655172413784
344,4.441860465116279,9.88338192419824,268.0,0.0,7127,6,0.0003561221301751,4.363929586866093e-05,0.0516129032258064,66.0,0.02,0,50.743023255813945
456,4.414473684210527,12.237362637362628,964.0,0.0,797,10,0.0012783848835296,0.0001450238061308,0.0659340659340659,14.0,0.11,0,39.97631578947368
128,4.6171875,38.65354330708661,2216.0,0.0,1860,8,0.0012335526315856,-0.0,0.0,0.0,0.17,0,32.19687499999999
60,4.266666666666667,35.44067796610169,380.0,0.0,25109,15,0.0008395862817745,3.711061758504471e-06,0.1857594936708861,90.0,0.18,0,31.600000000000005
54,4.314814814814815,65.30188679245283,340.0,0.0,2962,11,0.0001250106454363,1.8964979327523433e-09,0.2142857142857142,10.0,0.1,0,42.55555555555556
122,4.188524590163935,29.165289256198346,886.0,0.0,7001,4,0.0007128647703048,1.3308817317876652e-08,0.0,9.0,0.11,0,41.43770491803278
